Fecha,Value (TCM)
19/07/1966 00:00,2936444.5
20/07/1966 00:00,2933607.5
21/07/1966 00:00,2927810.1
22/07/1966 00:00,2919052.3
23/07/1966 00:00,2910417.9
24/07/1966 00:00,2902646.9
25/07/1966 00:00,2898823.1
26/07/1966 00:00,2892162.2
27/07/1966 00:00,2885378
28/07/1966 00:00,2878717.2
29/07/1966 00:00,2870082.8
30/07/1966 00:00,2861571.7
31/07/1966 00:00,2853924.1
01/08/1966 00:00,2850100.2
02/08/1966 00:00,2841589.2
03/08/1966 00:00,2832091.3
04/08/1966 00:00,2822716.8
05/08/1966 00:00,2816055.9
06/08/1966 00:00,2811368.7
07/08/1966 00:00,2806681.4
08/08/1966 00:00,2806681.4
09/08/1966 00:00,2810381.9
10/08/1966 00:00,2807544.9
11/08/1966 00:00,2817042.7
12/08/1966 00:00,2817042.7
13/08/1966 00:00,2810381.9
14/08/1966 00:00,2802857.6
15/08/1966 00:00,2797306.9
16/08/1966 00:00,2796320.1
17/08/1966 00:00,2807544.9
18/08/1966 00:00,2811368.7
19/08/1966 00:00,2808531.6
20/08/1966 00:00,2802857.6
21/08/1966 00:00,2795333.3
22/08/1966 00:00,2797306.9
23/08/1966 00:00,2798170.3
24/08/1966 00:00,2794469.9
25/08/1966 00:00,2788795.8
26/08/1966 00:00,2801007.4
27/08/1966 00:00,2821730
28/08/1966 00:00,2835915.1
29/08/1966 00:00,2852073.8
30/08/1966 00:00,2862558.5
31/08/1966 00:00,2866258.9
01/09/1966 00:00,2868232.5
02/09/1966 00:00,2874893.4
03/09/1966 00:00,2890188.6
04/09/1966 00:00,2908444.3
05/09/1966 00:00,2923862.9
06/09/1966 00:00,2936444.5
07/09/1966 00:00,2955933.6
08/09/1966 00:00,2995035.2
09/09/1966 00:00,3013660.9
10/09/1966 00:00,3024515.6
11/09/1966 00:00,3040304.3
12/09/1966 00:00,3074225.2
13/09/1966 00:00,3095194.5
14/09/1966 00:00,3103212.2
15/09/1966 00:00,3101238.6
16/09/1966 00:00,3094207.8
17/09/1966 00:00,3091124
18/09/1966 00:00,3092234.2
19/09/1966 00:00,3088163.7
20/09/1966 00:00,3086190.1
21/09/1966 00:00,3085203.3
22/09/1966 00:00,3079159.2
23/09/1966 00:00,3069167.9
24/09/1966 00:00,3055229.5
25/09/1966 00:00,3036357.1
26/09/1966 00:00,3031423.2
27/09/1966 00:00,3045361.6
28/09/1966 00:00,3057203.1
29/09/1966 00:00,3057203.1
30/09/1966 00:00,3057203.1
01/10/1966 00:00,3057203.1
02/10/1966 00:00,3055229.5
03/10/1966 00:00,3054242.7
04/10/1966 00:00,3051282.3
05/10/1966 00:00,3052269.1
06/10/1966 00:00,3049308.7
07/10/1966 00:00,3050295.5
08/10/1966 00:00,3056216.3
09/10/1966 00:00,3077185.6
10/10/1966 00:00,3104199
11/10/1966 00:00,3123318.1
12/10/1966 00:00,3136516.4
13/10/1966 00:00,3156745.7
14/10/1966 00:00,3175124.6
15/10/1966 00:00,3184252.5
16/10/1966 00:00,3190419.9
17/10/1966 00:00,3197574.2
18/10/1966 00:00,3203741.6
19/10/1966 00:00,3207812.1
20/10/1966 00:00,3208798.9
21/10/1966 00:00,3213979.6
22/10/1966 00:00,3220147
23/10/1966 00:00,3226314.5
24/10/1966 00:00,3233592
25/10/1966 00:00,3237662.6
26/10/1966 00:00,3238649.3
27/10/1966 00:00,3237662.6
28/10/1966 00:00,3236675.8
29/10/1966 00:00,3236675.8
30/10/1966 00:00,3236675.8
31/10/1966 00:00,3239759.5
01/11/1966 00:00,3240746.3
02/11/1966 00:00,3237662.6
03/11/1966 00:00,3237292.5
04/11/1966 00:00,3231495.1
05/11/1966 00:00,3230385
06/11/1966 00:00,3228411.4
07/11/1966 00:00,3231495.1
08/11/1966 00:00,3231495.1
09/11/1966 00:00,3232481.9
10/11/1966 00:00,3233592
11/11/1966 00:00,3232481.9
12/11/1966 00:00,3232481.9
13/11/1966 00:00,3231495.1
14/11/1966 00:00,3229398.2
15/11/1966 00:00,3226314.5
16/11/1966 00:00,3224217.5
17/11/1966 00:00,3223230.7
18/11/1966 00:00,3222243.9
19/11/1966 00:00,3221133.8
20/11/1966 00:00,3220147
21/11/1966 00:00,3220147
22/11/1966 00:00,3218050.1
23/11/1966 00:00,3217063.3
24/11/1966 00:00,3216076.5
25/11/1966 00:00,3216076.5
26/11/1966 00:00,3217063.3
27/11/1966 00:00,3217063.3
28/11/1966 00:00,3217063.3
29/11/1966 00:00,3216076.5
30/11/1966 00:00,3217063.3
01/12/1966 00:00,3217063.3
02/12/1966 00:00,3217063.3
03/12/1966 00:00,3218050.1
04/12/1966 00:00,3218050.1
05/12/1966 00:00,3219160.2
06/12/1966 00:00,3219160.2
07/12/1966 00:00,3218050.1
08/12/1966 00:00,3220147
09/12/1966 00:00,3221133.8
10/12/1966 00:00,3219160.2
11/12/1966 00:00,3218050.1
12/12/1966 00:00,3217063.3
13/12/1966 00:00,3216076.5
14/12/1966 00:00,3216076.5
15/12/1966 00:00,3216076.5
16/12/1966 00:00,3216076.5
17/12/1966 00:00,3214966.4
18/12/1966 00:00,3212992.8
19/12/1966 00:00,3211882.6
20/12/1966 00:00,3209909
21/12/1966 00:00,3207812.1
22/12/1966 00:00,3207812.1
23/12/1966 00:00,3205715.2
24/12/1966 00:00,3203741.6
25/12/1966 00:00,3202631.5
26/12/1966 00:00,3196587.4
27/12/1966 00:00,3194490.4
28/12/1966 00:00,3191406.7
29/12/1966 00:00,3186349.4
30/12/1966 00:00,3183265.7
31/12/1966 00:00,3179195.2
01/01/1967 00:00,3176111.4
02/01/1967 00:00,3176111.4
03/01/1967 00:00,3172040.9
04/01/1967 00:00,3166983.6
05/01/1967 00:00,3160816.2
06/01/1967 00:00,3155758.9
07/01/1967 00:00,3150701.6
08/01/1967 00:00,3145644.3
09/01/1967 00:00,3148604.6
10/01/1967 00:00,3148604.6
11/01/1967 00:00,3147617.8
12/01/1967 00:00,3146631
13/01/1967 00:00,3147617.8
14/01/1967 00:00,3148604.6
15/01/1967 00:00,3149591.4
16/01/1967 00:00,3149591.4
17/01/1967 00:00,3150701.6
18/01/1967 00:00,3151688.4
19/01/1967 00:00,3151688.4
20/01/1967 00:00,3150701.6
21/01/1967 00:00,3150701.6
22/01/1967 00:00,3150701.6
23/01/1967 00:00,3148604.6
24/01/1967 00:00,3144534.1
25/01/1967 00:00,3141573.7
26/01/1967 00:00,3139476.8
27/01/1967 00:00,3133432.7
28/01/1967 00:00,3126401.8
29/01/1967 00:00,3120357.7
30/01/1967 00:00,3117274
31/01/1967 00:00,3112216.7
01/02/1967 00:00,3108269.5
02/02/1967 00:00,3100251.9
03/02/1967 00:00,3092234.2
04/02/1967 00:00,3087176.9
05/02/1967 00:00,3081132.8
06/02/1967 00:00,3078172.4
07/02/1967 00:00,3075212
08/02/1967 00:00,3072128.3
09/02/1967 00:00,3070154.7
10/02/1967 00:00,3069167.9
11/02/1967 00:00,3069167.9
12/02/1967 00:00,3068181.1
13/02/1967 00:00,3065220.8
14/02/1967 00:00,3061273.6
15/02/1967 00:00,3057203.1
16/02/1967 00:00,3052269.1
17/02/1967 00:00,3048322
18/02/1967 00:00,3044374.8
19/02/1967 00:00,3043388
20/02/1967 00:00,3040304.3
21/02/1967 00:00,3034383.5
22/02/1967 00:00,3027476
23/02/1967 00:00,3022542
24/02/1967 00:00,3018594.9
25/02/1967 00:00,3012674.1
26/02/1967 00:00,3007740.2
27/02/1967 00:00,3010700.5
28/02/1967 00:00,3005766.6
01/03/1967 00:00,3000832.6
02/03/1967 00:00,2997995.6
03/03/1967 00:00,2997008.8
04/03/1967 00:00,2997008.8
05/03/1967 00:00,2996022
06/03/1967 00:00,2993061.6
07/03/1967 00:00,2987140.9
08/03/1967 00:00,2983193.7
09/03/1967 00:00,2979369.9
10/03/1967 00:00,2976409.5
11/03/1967 00:00,2973449.2
12/03/1967 00:00,2971475.6
13/03/1967 00:00,2968515.2
14/03/1967 00:00,2966665
15/03/1967 00:00,2962717.8
16/03/1967 00:00,2955933.6
17/03/1967 00:00,2947175.8
18/03/1967 00:00,2936444.5
19/03/1967 00:00,2926823.3
20/03/1967 00:00,2920039.1
21/03/1967 00:00,2913254.9
22/03/1967 00:00,2903633.7
23/03/1967 00:00,2901783.4
24/03/1967 00:00,2902646.9
25/03/1967 00:00,2906594
26/03/1967 00:00,2910417.9
27/03/1967 00:00,2909431.1
28/03/1967 00:00,2908444.3
29/03/1967 00:00,2903633.7
30/03/1967 00:00,2901783.4
31/03/1967 00:00,2901783.4
01/04/1967 00:00,2900796.6
02/04/1967 00:00,2900796.6
03/04/1967 00:00,2897959.6
04/04/1967 00:00,2893149
05/04/1967 00:00,2889325.2
06/04/1967 00:00,2884514.6
07/04/1967 00:00,2878717.2
08/04/1967 00:00,2873906.6
09/04/1967 00:00,2869219.3
10/04/1967 00:00,2864408.7
11/04/1967 00:00,2851087
